Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
8192                 1015.15
16384                1130.40
32768                1220.20
65536                1292.72
131072               1457.08
262144               1526.03
524288               1512.40
1048576              1520.47
2097152              1500.57
4194304              1478.70
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.27
2                       0.58
4                       1.30
8                       2.60
16                      5.20
32                      9.27
64                     18.58
128                    34.29
256                    67.09
512                   125.92
1024                  232.48
2048                  463.30
4096                  718.40
8192                 1009.21
16384                1110.86
32768                1219.89
65536                1300.67
131072               1435.37
262144               1511.78
524288               1495.04
1048576              1540.12
2097152              1522.01
4194304              1460.26
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.22
2                       0.48
4                       1.24
8                       2.49
16                      4.37
32                      8.66
64                     16.29
128                    33.02
256                    62.71
512                   114.11
1024                  199.67
2048                  363.47
4096                  557.98
8192                  805.16
16384                 954.60
32768                 997.67
65536                1070.60
131072               1485.16
262144               1618.82
524288               1643.77
1048576              1656.17
2097152              1659.07
4194304              1658.22
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.22
2                       0.50
4                       1.25
8                       2.41
16                      4.73
32                      8.64
64                     16.68
128                    33.70
256                    61.49
512                   109.06
1024                  184.31
2048                  273.86
4096                  457.79
8192                  695.57
16384                 869.45
32768                 806.70
65536                1000.04
131072               1511.76
262144               1732.44
524288               1670.60
1048576              1635.09
2097152              1646.19
4194304              1650.20
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.28
2                       0.56
4                       1.26
8                       2.48
16                      4.59
32                      8.54
64                     16.58
128                    31.89
256                    60.91
512                   109.36
1024                  184.79
2048                  273.18
4096                  442.18
8192                  665.66
16384                 834.43
32768                 870.92
65536                 986.23
131072               1515.95
262144               1745.17
524288               1817.99
1048576              1852.10
2097152              1870.99
4194304              1878.74
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.22
2                       0.51
4                       1.28
8                       2.49
16                      4.60
32                      8.41
64                     16.41
128                    32.65
256                    61.15
512                   109.09
1024                  185.57
2048                  284.88
4096                  454.38
8192                  702.42
16384                 886.46
32768                 929.56
65536                1033.02
131072               1561.50
262144               1746.31
524288               1820.27
1048576              1850.67
2097152              1867.81
4194304              1878.23
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.29
2                       0.61
4                       1.21
8                       2.42
16                      4.60
32                      8.42
64                     16.13
128                    32.86
256                    61.06
512                   109.40
1024                  185.96
2048                  280.01
4096                  441.34
8192                  703.00
16384                 877.65
32768                 816.53
65536                1003.99
131072               1494.38
262144               1729.42
524288               1804.94
1048576              1842.35
2097152              1856.58
4194304              1660.84
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.29
2                       0.56
4                       1.14
8                       2.51
16                      4.59
32                      8.67
64                     16.55
128                    33.00
256                    60.64
512                   108.61
1024                  183.97
2048                  279.12
4096                  442.42
8192                  700.45
16384                 874.91
32768                 911.26
65536                1017.46
131072               1496.52
262144               1617.06
524288               1640.17
1048576              1656.99
2097152              1657.11
4194304              1656.82
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

