[1721029503.735991389] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029503.762964940] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029503.790080825] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029503.794443956] thin003.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029503.821423160] thin003.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029503.847479938] thin003.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      10.39
2                      18.69
4                      42.55
8                      86.04
16                    185.94
32                    295.25
64                    462.27
128                   632.10
256                  1160.94
512                  2142.55
1024                 3666.75
2048                 6191.73
4096                 3965.06
8192                 7163.96
16384               10632.54
32768               15478.80
65536               20002.57
131072              23609.30
262144              26190.06
524288              25372.97
1048576             22079.77
2097152             18738.87
4194304             15932.85

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       9.69
2                      18.92
4                      36.56
8                      71.57
16                    148.26
32                    306.71
64                    448.59
128                   664.11
256                  1166.31
512                  2136.58
1024                 3684.19
2048                 6186.29
4096                 3888.83
8192                 6782.96
16384               10050.35
32768               14923.63
65536               19700.52
131072              23539.25
262144              25672.88
524288              25650.07
1048576             21375.37
2097152             18842.57
4194304             15868.22
