Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
64                     28.43
128                    28.49
256                    28.59
512                    28.81
1024                   33.72
2048                   56.65
4096                   57.30
8192                   61.24
16384                  68.90
32768                  94.21
65536                 223.33
131072                291.69
262144                433.18
524288                697.70
1048576              1326.62
2097152              2478.45
4194304              4908.56
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.15
2                      38.16
4                      38.20
8                      38.25
16                     38.21
32                     38.31
64                     38.87
128                    38.92
256                    38.98
512                    39.14
1024                   41.15
2048                   79.72
4096                   73.85
8192                   78.47
16384                  85.88
32768                 122.27
65536                 282.39
131072                396.68
262144                601.95
524288                956.10
1048576              1717.23
2097152              3285.24
4194304              6441.18
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.07
2                      38.02
4                      38.06
8                      38.11
16                     38.10
32                     38.04
64                     38.65
128                    38.67
256                    38.84
512                    39.10
1024                   41.13
2048                   79.57
4096                   73.84
8192                   77.54
16384                  84.83
32768                 121.98
65536                 280.35
131072                396.25
262144                601.47
524288                955.68
1048576              1732.83
2097152              3289.33
4194304              6445.87
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.13
2                      38.13
4                      38.11
8                      38.13
16                     38.28
32                     38.20
64                     38.83
128                    38.93
256                    39.02
512                    39.26
1024                   41.21
2048                   79.65
4096                   73.89
8192                   78.19
16384                  85.41
32768                 122.23
65536                 279.46
131072                396.60
262144                598.80
524288                952.88
1048576              1735.66
2097152              3293.85
4194304              6445.33
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.23
2                      37.56
4                      38.33
8                      38.28
16                     38.22
32                     38.21
64                     38.90
128                    38.90
256                    39.00
512                    39.37
1024                   41.12
2048                   79.76
4096                   74.36
8192                   79.22
16384                  85.45
32768                 124.09
65536                 281.81
131072                398.61
262144                601.03
524288                960.33
1048576              1738.19
2097152              3299.74
4194304              6470.35
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.10
2                      39.09
4                      39.04
8                      39.03
16                     39.00
32                     39.04
64                     39.80
128                    39.81
256                    39.87
512                    40.13
1024                   42.06
2048                   79.00
4096                   73.27
8192                   77.51
16384                  83.86
32768                 121.64
65536                 279.27
131072                394.77
262144                600.20
524288                955.09
1048576              1741.38
2097152              3308.94
4194304              6484.20
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.10
2                      38.10
4                      30.82
8                      28.07
16                     28.07
32                     29.54
64                     29.26
128                    29.36
256                    29.40
512                    29.56
1024                   31.05
2048                   64.14
4096                   66.52
8192                   72.22
16384                  83.56
32768                 117.75
65536                 283.79
131072                384.20
262144                575.76
524288                955.35
1048576              1738.94
2097152              3293.63
4194304              6436.42
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.19
2                      38.20
4                      38.17
8                      38.18
16                     38.22
32                     38.27
64                     38.71
128                    38.77
256                    38.91
512                    39.18
1024                   37.30
2048                   79.55
4096                   73.78
8192                   78.34
16384                  85.48
32768                 122.32
65536                 280.32
131072                396.82
262144                601.45
524288                956.14
1048576              1737.26
2097152              3291.97
4194304              6449.20
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.10
2                      38.09
4                      34.41
8                      32.87
16                     32.91
32                     33.48
64                     34.24
128                    36.96
256                    36.49
512                    36.43
1024                   40.87
2048                   79.78
4096                   73.84
8192                   78.11
16384                  84.86
32768                 122.00
65536                 281.42
131072                397.46
262144                602.16
524288                954.07
1048576              1735.72
2097152              3283.63
4194304              6439.57
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      32.30
2                      32.24
4                      32.18
8                      32.22
16                     32.21
32                     32.28
64                     32.76
128                    33.63
256                    38.75
512                    38.92
1024                   40.80
2048                   79.46
4096                   73.56
8192                   78.48
16384                  84.99
32768                 122.02
65536                 279.58
131072                396.80
262144                600.83
524288                955.05
1048576              1736.54
2097152              3286.81
4194304              6440.37
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.11
2                      38.01
4                      38.00
8                      38.00
16                     37.94
32                     38.14
64                     38.66
128                    38.70
256                    38.75
512                    39.15
1024                   41.17
2048                   79.35
4096                   73.89
8192                   78.41
16384                  85.21
32768                 122.08
65536                 279.62
131072                395.73
262144                601.23
524288                955.67
1048576              1735.57
2097152              3285.55
4194304              6449.74
