Size,Measure,CNI,Nodes,Benchmark
2097152,1148.97,baremetal,2,multi-latency
4194304,1981.42,baremetal,2,multi-latency
1,21.47,baremetal,2,multi-latency
2,21.44,baremetal,2,multi-latency
4,21.36,baremetal,2,multi-latency
8,21.45,baremetal,2,multi-latency
16,21.36,baremetal,2,multi-latency
32,21.43,baremetal,2,multi-latency
64,21.52,baremetal,2,multi-latency
128,21.89,baremetal,2,multi-latency
256,22.04,baremetal,2,multi-latency
512,22.25,baremetal,2,multi-latency
1024,23.27,baremetal,2,multi-latency
2048,39.1,baremetal,2,multi-latency
4096,39.59,baremetal,2,multi-latency
8192,40.89,baremetal,2,multi-latency
16384,51.33,baremetal,2,multi-latency
32768,73.67,baremetal,2,multi-latency
65536,133.97,baremetal,2,multi-latency
131072,145.37,baremetal,2,multi-latency
262144,189.75,baremetal,2,multi-latency
524288,290.44,baremetal,2,multi-latency
1048576,639.1,baremetal,2,multi-latency
2097152,1137.38,baremetal,2,multi-latency
4194304,2049.23,baremetal,2,multi-latency
1,33.72,baremetal,2,multi-latency
2,34.99,baremetal,2,multi-latency
4,36.17,baremetal,2,multi-latency
8,32.81,baremetal,2,multi-latency
16,34.47,baremetal,2,multi-latency
32,32.11,baremetal,2,multi-latency
64,34.81,baremetal,2,multi-latency
128,33.71,baremetal,2,multi-latency
256,34.72,baremetal,2,multi-latency
512,33.97,baremetal,2,multi-latency
1024,32.94,baremetal,2,multi-latency
2048,42.82,baremetal,2,multi-latency
4096,42.99,baremetal,2,multi-latency
8192,46.1,baremetal,2,multi-latency
16384,50.89,baremetal,2,multi-latency
32768,72.48,baremetal,2,multi-latency
65536,134.9,baremetal,2,multi-latency
131072,150.19,baremetal,2,multi-latency
262144,177.28,baremetal,2,multi-latency
524288,331.93,baremetal,2,multi-latency
1048576,611.64,baremetal,2,multi-latency
2097152,1120.1,baremetal,2,multi-latency
4194304,2026.43,baremetal,2,multi-latency
1,33.4,baremetal,2,multi-latency
2,31.43,baremetal,2,multi-latency
4,34.37,baremetal,2,multi-latency
8,36.08,baremetal,2,multi-latency
16,35.88,baremetal,2,multi-latency
32,36.01,baremetal,2,multi-latency
64,33.66,baremetal,2,multi-latency
128,33.79,baremetal,2,multi-latency
256,35.78,baremetal,2,multi-latency
512,33.38,baremetal,2,multi-latency
1024,34.67,baremetal,2,multi-latency
2048,42.92,baremetal,2,multi-latency
4096,43.76,baremetal,2,multi-latency
8192,45.41,baremetal,2,multi-latency
16384,50.07,baremetal,2,multi-latency
32768,71.96,baremetal,2,multi-latency
