Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
256                    57.80         225786.09
512                   105.90         206838.37
1024                  185.23         180888.90
2048                  285.23         139271.57
4096                  448.24         109434.69
8192                  619.51          75623.49
16384                 770.73          47041.48
32768                 940.19          28692.34
65536                1391.36          21230.50
131072               1618.45          12347.76
262144               1613.98           6156.86
524288               1641.30           3130.53
1048576              1653.32           1576.73
2097152              1655.13            789.23
4194304              1655.89            394.79
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.26         259314.46
2                       0.63         316271.66
4                       1.31         327940.37
8                       2.61         326682.89
16                      4.86         303614.83
32                      9.67         302044.40
64                     17.08         266821.55
128                    34.15         266795.72
256                    67.39         263239.32
512                   127.70         249414.00
1024                  234.05         228568.88
2048                  417.10         203660.09
4096                  707.18         172651.36
8192                  999.84         122050.18
16384                1155.86          70547.99
32768                1244.75          37986.77
65536                1312.56          20028.07
131072               1385.06          10567.20
262144               1449.82           5530.61
524288               1484.76           2831.96
1048576              1525.86           1455.17
2097152              1514.53            722.18
4194304              1501.42            357.97
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.25         253529.22
2                       0.49         246796.05
4                       0.99         248170.53
8                       2.00         249834.21
16                      3.90         243620.60
32                      7.81         243957.60
64                     15.64         244441.99
128                    28.32         221224.96
256                    51.95         202926.34
512                    99.03         193415.15
1024                  166.54         162640.57
2048                  289.92         141564.37
4096                  394.62          96343.15
8192                  572.99          69944.69
16384                 747.39          45617.29
32768                 905.17          27623.54
65536                1361.37          20772.88
131072               1650.14          12589.58
262144               1754.66           6693.50
524288               1824.78           3480.50
1048576              1865.12           1778.71
2097152              1880.92            896.89
4194304              1891.76            451.03
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.30         295825.41
2                       0.64         320212.48
4                       1.29         322560.45
8                       2.66         332711.47
16                      5.08         317737.42
32                      9.15         285805.90
64                     18.67         291773.38
128                    34.55         269895.35
256                    67.02         261814.12
512                   123.87         241937.84
1024                  239.41         233794.25
2048                  425.47         207747.33
4096                  686.43         167585.34
8192                  990.92         120962.36
16384                1154.94          70492.09
32768                1232.15          37602.14
65536                1305.57          19921.38
131072               1376.35          10500.75
262144               1449.37           5528.90
524288               1488.86           2839.77
1048576              1525.88           1455.19
2097152              1507.01            718.60
4194304              1461.68            348.49
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.28         276097.42
2                       0.55         276944.85
4                       1.12         280451.30
8                       2.24         280161.23
16                      4.45         278044.08
32                      7.91         247112.26
64                     15.87         248015.90
128                    30.58         238893.85
256                    60.70         237111.90
512                   105.85         206748.02
1024                  194.60         190039.44
2048                  320.53         156507.11
4096                  469.31         114577.03
8192                  674.66          82355.65
16384                 875.40          53430.46
32768                 963.28          29397.10
65536                1339.51          20439.26
131072               1634.72          12471.91
262144               1736.58           6624.52
524288               1804.54           3441.89
1048576              1844.73           1759.27
2097152              1858.69            886.29
4194304              1866.90            445.10
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.29         294246.15
2                       0.62         308387.42
4                       1.16         289141.65
8                       2.26         282241.34
16                      4.65         290600.42
32                      9.27         289773.08
64                     16.70         260923.26
