[1721028221.078563908] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028221.092317463] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028221.105144729] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028221.119271907] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028221.130963809] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028221.145411541] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
[1721028419.328458384] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028419.355496144] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028419.355729633] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028419.381099261] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028419.381908408] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.84
2                       1.65
4                       3.32
8                       6.65
16                     13.18
32                     26.05
64                     50.58
128                    96.99
256                   186.36
512                   355.24
1024                  669.55
2048                 1161.51
4096                 1955.83
8192                 2715.98
16384                2663.50
32768                2907.22
65536                1839.68
131072               2028.87
262144               1937.98
524288               2296.07
1048576              2519.01
2097152              2627.84
4194304              2900.67
[1721028430.159702705] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028430.172949948] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028430.186369672] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028430.199756027] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028430.212031451] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028430.225880170] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.83
2                       1.61
4                       3.29
8                       6.61
16                     13.17
32                     26.20
64                     50.48
128                    94.64
256                   186.08
512                   349.38
1024                  651.24
2048                 1149.33
4096                 1813.03
8192                 2399.19
16384                2459.32
32768                2614.74
65536                1683.92
131072               2037.01
262144               2073.11
524288               2333.59
1048576              2617.03
2097152              2628.21
4194304              3017.13
[1721028440.802360818] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028440.823336086] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028440.829079589] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028440.850930607] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028440.855219090] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028440.877682662] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.82
2                       1.68
4                       3.32
8                       6.55
16                     13.12
32                     25.93
64                     50.93
128                    96.69
256                   188.01
512                   351.00
1024                  666.90
2048                 1164.28
4096                 1904.61
8192                 2695.57
16384                2487.97
32768                2884.16
65536                1569.00
131072               2191.85
262144               2098.29
524288               2289.17
1048576              2716.00
2097152              2562.68
4194304              3062.21
[1721028451.424122010] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028451.436026846] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028451.450835005] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028451.462794038] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028451.476712314] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028451.488847398] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.82
2                       1.69
4                       3.29
8                       6.66
16                     13.08
32                     25.93
64                     50.30
128                    98.63
256                   189.49
512                   358.40
1024                  660.93
2048                 1174.48
4096                 1887.61
8192                 2685.12
16384                2554.13
32768                2948.97
65536                2504.12
131072               2237.76
262144               2234.29
524288               2384.80
1048576              2860.68
2097152              2551.97
4194304              3159.86

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.82
2                       1.65
4                       3.23
8                       6.55
16                     12.93
32                     26.10
64                     49.85
128                    96.00
256                   188.83
512                   351.33
1024                  662.28
2048                 1159.17
4096                 1848.53
8192                 2638.11
16384                2718.82
32768                2871.26
65536                2430.48
131072               2596.33
262144               2458.34
524288               2257.68
1048576              2448.19
2097152              2460.75
4194304              2763.41
[1721028472.763871479] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028472.778572680] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028472.790189773] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028472.805683420] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
