Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
# Size                  MB/s        Messages/s
1                       0.06          58791.07
2                       0.12          58865.14
4                       0.24          58790.02
8                       0.47          58835.96
16                      0.94          58691.67
32                      1.88          58781.70
64                      3.75          58553.80
128                     7.51          58665.35
256                    11.03          43096.09
512                    22.01          42981.21
1024                   43.94          42911.94
2048                   69.28          33827.10
4096                  137.59          33590.69
8192                  272.44          33257.19
16384                 541.36          33042.03
32768                1428.52          43594.88
65536                 800.50          12214.69
131072               1467.88          11199.07
262144               1975.71           7536.74
524288               2226.16           4246.06
1048576              2373.50           2263.55
2097152              2528.67           1205.76
4194304              2588.16            617.06
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58546.93
2                       0.12          58551.22
4                       0.23          58473.60
8                       0.47          58608.68
16                      0.94          58588.13
32                      1.87          58561.87
64                      3.74          58485.43
128                     7.48          58434.32
256                    11.09          43337.35
512                    21.99          42956.00
1024                   43.97          42943.43
2048                   69.34          33856.56
4096                  137.22          33500.60
8192                  272.61          33277.60
16384                 538.75          32882.51
32768                1006.34          30710.97
65536                 798.64          12186.22
131072               1464.21          11171.07
262144               1988.63           7586.04
524288               2227.18           4248.01
1048576              2376.38           2266.29
2097152              2531.82           1207.27
4194304              2567.03            612.03
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58895.24
2                       0.12          58938.71
4                       0.24          58970.39
8                       0.47          58903.10
16                      0.94          58947.75
32                      1.88          58714.29
64                      3.77          58876.46
128                     7.53          58825.53
256                    11.17          43641.52
512                    22.02          43009.09
1024                   44.16          43128.66
2048                   69.60          33984.66
4096                  138.20          33739.12
8192                  273.09          33336.64
16384                 542.17          33091.40
32768                1010.59          30840.65
65536                 802.71          12248.34
131072               1475.40          11256.39
262144               2013.06           7679.21
524288               2227.60           4248.81
1048576              2374.91           2264.89
2097152              2529.47           1206.15
4194304              2587.26            616.85
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58946.54
2                       0.12          59014.45
4                       0.24          58999.28
8                       0.47          59002.72
16                      0.94          58878.53
32                      1.89          58936.41
64                      3.77          58860.04
128                     7.52          58765.13
256                    11.11          43385.35
512                    22.08          43118.95
1024                   44.06          43022.75
2048                   69.61          33991.61
4096                  137.78          33638.29
8192                  272.94          33317.60
16384                 539.87          32951.14
32768                1007.84          30756.76
65536                 804.93          12282.29
131072               1476.95          11268.22
262144               2008.99           7663.70
524288               2242.36           4276.97
1048576              2376.90           2266.79
2097152              2526.71           1204.83
4194304              2585.96            616.54
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58722.00
2                       0.12          58887.61
4                       0.24          58769.23
8                       0.47          58749.30
16                      0.94          58693.48
32                      1.88          58779.13
64                      3.76          58774.25
128                     7.51          58674.68
256                    11.12          43424.25
512                    22.03          43034.22
1024                   43.90          42874.33
2048                   69.20          33791.41
4096                  137.32          33524.25
8192                  272.34          33244.57
16384                 539.63          32936.33
32768                1004.42          30652.46
65536                 803.16          12255.18
131072               1465.94          11184.23
262144               2002.22           7637.86
524288               2242.67           4277.55
1048576              2373.38           2263.43
2097152              2526.11           1204.55
4194304              2578.17            614.68
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58593.06
2                       0.12          58651.99
4                       0.23          58661.05
8                       0.47          58612.27
16                      0.94          58636.05
32                      1.88          58632.48
64                      3.75          58533.28
