Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
8192                   27.69
16384                  37.82
32768                  47.57
65536                 154.23
131072                169.91
262144                234.70
524288                297.42
1048576               498.72
2097152               896.58
4194304              1895.11
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.06
2                      33.06
4                      33.05
8                      33.12
16                     33.09
32                     33.10
64                     33.07
128                    33.09
256                    33.12
512                    24.50
1024                   24.59
2048                   25.00
4096                   27.04
8192                   27.61
16384                  38.13
32768                  47.81
65536                 151.76
131072                169.57
262144                235.98
524288                299.31
1048576               499.11
2097152               889.38
4194304              1892.95
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      32.97
2                      33.02
4                      32.98
8                      33.01
16                     33.04
32                     33.06
64                     33.03
128                    33.02
256                    33.02
512                    24.55
1024                   24.62
2048                   25.15
4096                   27.09
8192                   27.59
16384                  38.07
32768                  47.26
65536                 151.10
131072                171.18
262144                206.85
524288                304.01
1048576               498.53
2097152               890.03
4194304              1894.59
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      32.94
2                      32.96
4                      32.93
8                      32.96
16                     32.98
32                     32.96
64                     32.98
128                    32.95
256                    32.99
512                    24.65
1024                   24.60
2048                   25.33
4096                   26.83
8192                   27.59
16384                  37.92
32768                  47.96
65536                 151.09
131072                170.48
262144                207.96
524288                304.82
1048576               498.02
2097152               898.51
4194304              1883.58
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.11
2                      33.16
4                      33.13
8                      33.16
16                     33.12
32                     33.19
64                     33.15
128                    33.18
256                    33.18
512                    24.53
1024                   24.64
2048                   24.89
4096                   26.95
8192                   27.48
16384                  38.11
32768                  47.51
65536                 150.57
131072                171.45
262144                235.40
524288                305.16
1048576               498.97
2097152               898.87
4194304              1893.41
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.04
2                      33.10
4                      33.08
8                      33.08
16                     33.11
32                     33.10
64                     33.13
128                    33.14
256                    33.19
512                    24.77
1024                   24.75
2048                   25.05
4096                   35.20
8192                   27.56
16384                  38.06
32768                  47.72
65536                 151.63
131072                169.51
262144                235.37
524288                305.16
1048576               499.82
2097152               902.60
4194304              1898.74
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.25
2                      33.25
4                      33.22
8                      33.69
16                     33.26
32                     33.30
64                     33.26
128                    33.25
256                    33.30
512                    24.76
1024                   24.79
2048                   25.01
4096                   27.15
8192                   27.73
16384                  38.20
32768                  47.54
65536                 151.85
131072                170.83
262144                235.58
524288                304.12
1048576               498.81
2097152               893.16
4194304              1902.84
