Size,CNI,Nodes,Benchmark,Mean,Median,Std,Min,Max
4,calico,2,bw,0.341,0.35,0.02411895806064256,0.26,0.36
4,calico,2,latency,37.099666666666664,38.760000000000005,3.2046652236079676,30.31,39.35
4,calico,2,latency_mp,67.023,67.05000000000001,0.6225151985403994,65.18,67.61
4,calico,2,mbw_mr,0.3126666666666667,0.31,0.017207322686083056,0.27,0.35
4,calico,2,multi-latency,67.50066666666666,67.555,0.7969421444554127,65.66,68.45
4,cilium,1,bibw,0.7613333333333333,0.76,0.008995528902176076,0.74,0.78
4,cilium,1,bw,0.37766666666666665,0.38,0.006260623155792931,0.36,0.39
4,cilium,1,latency,17.075333333333333,17.04,0.1483642612726814,16.83,17.44
4,cilium,1,latency_mp,21.063,21.09,0.0934824342710518,20.83,21.22
4,cilium,1,mbw_mr,0.3453333333333334,0.34,0.015024883574816196,0.33,0.39
4,cilium,1,multi-latency,23.961333333333336,24.0,0.13977157062157877,23.53,24.15
4,cilium,2,bibw,2.622,2.66,0.1317887546874503,2.33,2.92
4,cilium,2,bw,1.2456666666666665,1.26,0.04818665814298091,1.05,1.31
4,cilium,2,latency,36.010666666666665,37.95,2.872493730173324,29.78,39.35
4,cilium,2,latency_mp,41.894999999999996,44.04,4.205683141851651,31.16,45.93
4,cilium,2,mbw_mr,1.1119999999999999,1.12,0.09433615608465072,0.94,1.31
4,cilium,2,multi-latency,43.559333333333335,44.635,3.9710651166808564,37.04,57.1
4,flannel,1,bibw,0.5413333333333334,0.54,0.007302967433402224,0.52,0.55
4,flannel,1,bw,0.26,0.26,0.0,0.26,0.26
4,flannel,1,latency,22.991,23.005000000000003,0.1067820855438939,22.68,23.17
4,flannel,1,latency_mp,29.33833333333333,29.310000000000002,0.15467615408872168,29.13,29.72
4,flannel,1,mbw_mr,0.23366666666666666,0.23,0.008087168778415263,0.23,0.27
4,flannel,1,multi-latency,33.07333333333334,33.075,0.09792091577965514,32.85,33.23
4,flannel,2,bibw,0.888,0.965,0.14756412983443196,0.62,0.99
4,flannel,2,bw,0.3953333333333333,0.4,0.03711429999835395,0.29,0.45
4,flannel,2,latency,35.868,38.03,3.178624078824478,29.31,39.04
4,flannel,2,latency_mp,70.87033333333333,67.75,23.586705706646576,46.21,193.65
4,flannel,2,mbw_mr,0.37533333333333335,0.375,0.023741907272153598,0.31,0.44
4,flannel,2,multi-latency,72.77566666666667,67.63,23.07365458151626,57.72,184.54
8,baremetal,1,bibw,80.57066666666667,75.85499999999999,8.140626059688419,68.64,93.29
8,baremetal,1,bw,70.08366666666666,70.675,2.223415333923566,63.98,71.96
8,baremetal,1,latency,0.434,0.44499999999999995,0.051501590199754504,0.38,0.5
8,baremetal,1,latency_mp,0.5006666666666667,0.53,0.0443289687593155,0.43,0.56
8,baremetal,1,mbw_mr,65.40866666666666,68.37,4.3784517286627604,59.49,70.19
