[1721029416.542734754] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029416.570168532] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029416.597257347] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029416.601591350] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029416.628423194] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029416.654820335] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
512                  2030.41
1024                 3471.01
2048                 5639.14
4096                 2594.04
8192                 4496.63
16384                6352.41
32768                8797.88
65536               10851.47
131072              12389.96
262144              13664.18
524288              12898.30
1048576             11203.26
2097152              9427.30
4194304              9425.73

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.79
2                      17.84
4                      35.80
8                      71.95
16                    139.72
32                    255.64
64                    440.59
128                   578.91
256                   986.82
512                  2056.88
1024                 3446.18
2048                 5845.01
4096                 2565.98
8192                 4512.68
16384                6182.72
32768                8775.17
65536               10796.24
131072              12289.12
262144              13440.35
524288              12928.77
1048576             11413.10
2097152              9524.74
4194304              9397.29

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.95
2                      17.78
4                      35.76
8                      71.96
16                    141.09
32                    285.01
64                    418.43
128                   581.76
256                   963.97
512                  2017.39
1024                 3434.27
2048                 5605.47
4096                 2611.84
8192                 4609.50
16384                6354.49
32768                8904.73
65536               10928.72
131072              12424.36
262144              13099.54
524288              13026.72
1048576             11622.66
2097152              9563.20
4194304              9521.98

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.78
2                      17.86
4                      35.92
8                      71.83
16                    140.32
32                    279.40
64                    447.10
128                   564.69
256                  1003.94
512                  2039.28
1024                 3514.65
2048                 5739.11
4096                 2593.97
8192                 4564.68
16384                6347.76
32768                8895.82
65536               10904.33
131072              12448.55
262144              13832.35
524288              13089.68
1048576             11491.23
2097152              9556.25
4194304              9501.50
[1721029492.000213018] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029492.027211672] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029492.054302695] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029492.058534676] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029492.085452651] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029492.111702104] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.73
2                      17.65
4                      34.86
8                      70.36
16                    136.00
32                    269.91
64                    447.08
128                   573.83
256                   930.63
512                  2018.15
1024                 3444.87
2048                 5655.22
4096                 2526.15
8192                 4525.64
16384                6466.92
32768                8981.86
65536               11193.34
131072              12770.95
262144              14069.19
524288              13202.67
1048576             11256.26
2097152              9484.28
4194304              9292.43
[1721029494.941484940] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029494.968565361] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029494.995160675] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029495.000475775] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029495.027516842] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029495.054027677] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.72
2                      17.46
4                      34.88
8                      70.09
16                    138.02
32                    275.48
64                    441.97
128                   580.60
256                   978.23
512                  2021.13
1024                 3480.45
2048                 5663.17
4096                 2565.57
8192                 4500.25
16384                6291.96
32768                8735.30
65536               10930.94
131072              12367.47
262144              13462.63
524288              12889.35
1048576             11143.57
2097152              9455.33
4194304              9279.51
[1721029497.907264802] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029497.934265909] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029497.961290526] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029497.961887260] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029497.989060754] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029498.015632785] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.74
2                      17.51
4                      34.99
8                      70.23
16                    137.58
32                    277.53
64                    441.26
128                   539.17
256                   975.95
512                  2018.84
1024                 3481.99
2048                 5600.30
4096                 2605.92
8192                 4565.44
16384                6369.69
32768                8878.34
65536               11015.60
131072              12496.10
262144              13172.58
524288              12734.41
1048576             11099.54
2097152              9458.61
4194304              9463.32

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.86
2                      17.93
4                      35.47
8                      71.34
16                    139.91
32                    280.65
64                    409.08
128                   595.06
256                  1007.39
512                  2052.94
1024                 3521.14
2048                 5717.97
4096                 2596.71
8192                 4610.19
16384                6399.41
32768                8911.84
65536               10970.00
131072              12463.64
262144              13562.50
524288              13120.77
1048576             11766.93
2097152              9539.30
4194304              9440.28
