Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
16                      2.42
32                      4.84
64                      9.75
128                    19.58
256                    37.07
512                    75.32
1024                  130.95
2048                  187.39
4096                  409.09
8192                  784.58
16384                1068.99
32768                1375.63
65536                 898.92
131072               1081.93
262144               1313.47
524288               1558.40
1048576              1696.71
2097152              1720.06
4194304              1684.54
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.23
2                       0.47
4                       0.98
8                       1.96
16                      3.88
32                      7.81
64                     15.77
128                    31.50
256                    62.54
512                   124.49
1024                  243.99
2048                  401.01
4096                  838.70
8192                 1428.22
16384                2180.71
32768                1869.70
65536                1029.26
131072               1103.18
262144               1437.24
524288               1803.62
1048576              1857.95
2097152              1862.65
4194304              1869.21
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.15
2                       0.43
4                       0.98
8                       1.97
16                      3.89
32                      7.78
64                     15.63
128                    31.35
256                    61.43
512                   123.68
1024                  216.72
2048                  397.18
4096                  837.16
8192                 1424.77
16384                2207.19
32768                2208.39
65536                1121.55
131072               1132.12
262144               1449.84
524288               1802.86
1048576              1850.01
2097152              1866.48
4194304              1871.54
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.16
2                       0.44
4                       0.97
8                       1.96
16                      3.86
32                      7.74
64                     15.64
128                    31.28
256                    61.84
512                   109.81
1024                  214.94
2048                  376.64
4096                  837.67
8192                 1423.70
16384                1935.44
32768                1563.62
65536                 998.16
131072               1067.33
262144               1446.03
524288               1792.01
1048576              1835.37
2097152              1741.61
4194304              1742.62
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.15
2                       0.45
4                       0.97
8                       1.96
16                      3.87
32                      7.74
64                     15.63
128                    31.18
256                    61.73
512                   110.68
1024                  206.19
