Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          46609.72
2                       0.09          46724.39
4                       0.19          46699.82
8                       0.37          46727.30
16                      0.75          46765.33
32                      1.50          46749.50
64                      2.97          46464.07
128                     5.97          46651.21
256                    10.87          42457.14
512                    16.52          32264.13
1024                   33.00          32224.22
2048                   51.66          25223.57
4096                  102.26          24967.01
8192                  203.15          24798.34
16384                 394.14          24056.41
32768                1247.29          38064.40
65536                 618.94           9444.26
131072               1196.08           9125.33
262144               1642.31           6264.91
524288               1886.22           3597.68
1048576              2044.28           1949.57
2097152              2183.01           1040.94
4194304              2200.98            524.76
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          46175.61
2                       0.09          45964.17
4                       0.18          46048.39
8                       0.37          46138.77
16                      0.74          46198.27
32                      1.48          46185.96
64                      2.95          46025.57
128                     5.88          45925.35
256                     8.26          32246.48
512                    16.40          32038.44
1024                   32.81          32045.71
2048                   51.57          25181.48
4096                  101.99          24899.86
8192                  202.94          24772.41
16384                 402.73          24580.72
32768                 754.83          23035.49
65536                 614.66           9379.02
131072               1190.64           9083.85
262144               1637.96           6248.34
524288               1871.66           3569.91
1048576              2037.36           1942.98
2097152              2178.90           1038.98
4194304              2200.04            524.53
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          46257.44
2                       0.09          46189.09
4                       0.18          46247.51
8                       0.37          46247.69
16                      0.74          46297.49
32                      1.48          46259.70
64                      2.96          46236.61
128                     5.91          46157.15
256                    10.97          42835.88
512                    16.52          32273.87
1024                   33.04          32262.45
2048                   51.74          25262.24
4096                  102.19          24947.70
8192                  203.53          24845.08
16384                 404.56          24692.65
32768                 758.47          23146.68
65536                 616.23           9402.89
131072               1193.39           9104.85
262144               1638.17           6249.11
524288               1876.93           3579.95
1048576              2043.18           1948.53
2097152              2184.33           1041.57
4194304              2217.20            528.62
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          53219.35
2                       0.11          53217.08
4                       0.21          53425.74
8                       0.43          53128.61
16                      0.85          53110.70
32                      1.70          53170.86
64                      3.39          52991.12
128                     6.77          52903.35
256                    13.55          52921.31
512                    18.87          36861.28
1024                   37.66          36782.09
2048                   58.96          28789.84
4096                  116.74          28502.13
8192                  231.78          28293.08
16384                 460.43          28102.32
32768                1428.32          43588.95
65536                 700.99          10696.30
131072               1342.40          10241.68
262144               1639.30           6253.42
524288               1878.10           3582.19
1048576              2043.08           1948.43
2097152              2182.14           1040.53
4194304              2207.30            526.26
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          46637.65
2                       0.09          46632.51
4                       0.19          46594.62
8                       0.37          46679.48
16                      0.75          46627.32
32                      1.49          46556.92
64                      2.98          46502.60
128                     5.94          46443.78
256                    11.89          46450.94
512                    16.52          32257.31
1024                   32.97          32194.09
2048                   51.65          25218.27
4096                  102.28          24969.60
8192                  204.26          24934.45
16384                 404.06          24662.12
32768                1248.60          38104.31
65536                 619.02           9445.44
131072               1194.77           9115.36
262144               1637.05           6244.85
524288               1882.10           3589.83
1048576              2042.72           1948.09
2097152              2184.68           1041.74
4194304              2209.73            526.84
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
