# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
[1721028769.728505809] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.36         356201.07
2                       0.66         327932.19
4                       1.37         342846.23
8                       2.83         354371.27
16                      6.01         375537.93
32                     12.20         381114.74
64                     19.39         302913.96
128                    43.39         338985.15
256                    82.90         323825.40
512                   158.35         309273.68
1024                  303.42         296307.61
2048                  562.92         274865.31
4096                  967.85         236291.96
8192                 1418.38         173141.88
16384                1735.21         105909.03
32768                1923.22          58692.05
65536                1799.91          27464.50
131072               2282.29          17412.46
262144               3289.05          12546.71
524288               3971.31           7574.67
1048576              4263.11           4065.62
2097152              3691.69           1760.33
4194304              3863.76            921.19
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.38         378311.41
2                       0.76         381311.20
4                       1.50         373851.65
8                       2.80         350010.74
16                      5.51         344668.47
32                      9.88         308824.22
64                     19.59         306136.49
128                    38.87         303680.08
256                    82.35         321660.98
512                   155.95         304582.87
1024                  294.40         287495.82
2048                  569.67         278158.56
4096                  968.73         236506.87
8192                 1417.32         173012.70
16384                1724.69         105266.54
32768                1926.53          58792.94
65536                1648.72          25157.50
131072               2522.54          19245.42
262144               3255.95          12420.45
524288               3716.03           7087.76
1048576              4239.16           4042.78
2097152              3779.22           1802.07
4194304              3891.53            927.81
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.35         352865.21
2                       0.66         332022.91
4                       1.38         345244.82
8                       2.83         354137.92
16                      6.03         376705.87
32                     12.15         379681.22
64                     19.91         311143.99
128                    41.13         321289.08
256                    82.36         321712.82
512                   163.07         318489.28
1024                  300.01         292978.73
2048                  558.28         272599.07
4096                  988.10         241236.32
8192                 1435.41         175220.45
16384                1733.99         105834.54
32768                1922.31          58664.35
65536                1743.28          26600.41
131072               2642.49          20160.57
262144               3242.21          12368.05
524288               4725.61           9013.38
1048576              5000.93           4769.26
2097152              4528.20           2159.22
4194304              3960.19            944.18
[1721028822.455500983] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028822.458899181] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028822.481725364] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028822.486082532] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
