Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
8                       5.23
16                     10.50
32                     20.48
64                     37.81
128                    71.29
256                   126.60
512                   233.77
1024                  398.94
2048                  649.80
4096                 1001.99
8192                 1299.65
16384                1250.46
32768                1240.31
65536                1206.49
131072               1260.20
262144               1360.48
524288               1514.09
1048576              1609.32
2097152              1618.45
4194304              1587.04
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.59
2                       1.18
4                       2.45
8                       4.85
16                      9.67
32                     18.91
64                     36.43
128                    67.58
256                   123.55
512                   226.80
1024                  464.17
2048                  842.50
4096                 1269.45
8192                 1530.00
16384                1552.90
32768                1539.99
65536                1304.77
131072               1356.59
262144               1470.95
524288               1759.15
1048576              1686.07
2097152              1691.55
4194304              1734.73
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.67
2                       1.34
4                       2.68
8                       5.35
16                     10.53
32                     20.57
64                     39.27
128                    70.02
256                   133.80
512                   233.44
1024                  391.97
2048                  651.13
4096                 1020.80
8192                 1292.42
16384                1375.97
32768                1344.32
65536                1249.09
131072               1280.43
262144               1377.72
524288               1549.51
1048576              1614.81
2097152              1606.85
4194304              1572.22
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.56
2                       1.17
4                       2.36
8                       4.81
16                      9.67
32                     19.32
64                     36.75
128                    70.49
256                   127.85
512                   259.49
1024                  431.92
2048                  860.15
4096                 1285.48
8192                 1612.52
16384                1604.50
32768                1581.97
65536                1289.91
131072               1317.31
262144               1437.26
524288               1715.34
1048576              1739.11
2097152              1742.93
4194304              1743.52
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.52
2                       1.11
4                       2.39
8                       4.94
16                      9.76
32                     19.60
64                     38.11
128                    72.92
256                   131.58
512                   233.60
1024                  442.21
