Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      22.94
2                      22.91
4                      22.91
8                      22.90
16                     22.90
32                     22.89
64                     22.95
128                    22.97
256                    23.00
512                    23.01
1024                   23.12
2048                   22.17
4096                   22.83
8192                   23.41
16384                  25.04
32768                  64.42
65536                 115.91
131072                134.19
262144                177.66
524288                267.42
1048576               449.97
2097152               799.94
4194304              1734.99
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.00
2                      23.01
4                      23.01
8                      22.94
16                     22.96
32                     22.94
64                     22.96
128                    22.96
256                    23.08
512                    23.12
1024                   23.29
2048                   22.20
4096                   22.80
8192                   23.49
16384                  34.19
32768                  36.40
65536                 116.77
131072                134.71
262144                177.28
524288                263.90
1048576               445.46
2097152               811.75
4194304              1728.45
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.12
2                      23.13
4                      23.13
8                      23.12
16                     23.17
32                     23.13
64                     23.19
128                    23.15
256                    23.19
512                    23.26
1024                   23.35
2048                   22.26
4096                   22.88
8192                   23.58
16384                  25.31
32768                  58.90
65536                 116.87
131072                133.90
262144                178.90
524288                268.36
1048576               444.81
2097152               801.01
4194304              1730.27
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.05
2                      22.97
4                      23.07
8                      23.00
16                     22.98
32                     23.01
64                     23.02
128                    23.05
256                    23.09
512                    23.11
1024                   23.18
2048                   22.37
4096                   22.75
8192                   23.65
16384                  33.97
32768                  36.81
65536                 116.88
131072                133.83
262144                178.08
524288                268.10
1048576               444.22
2097152               803.34
4194304              1729.36
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      22.69
2                      22.65
4                      22.68
8                      22.70
16                     22.68
32                     22.68
64                     22.66
128                    22.66
256                    22.75
512                    22.82
1024                   22.94
2048                   22.06
4096                   22.60
8192                   23.17
16384                  33.63
32768                  36.93
65536                 123.63
131072                143.56
262144                180.12
524288                263.10
1048576               444.57
2097152               799.16
4194304              1735.31
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.03
2                      23.04
4                      23.08
8                      23.03
16                     23.00
32                     23.01
64                     23.02
128                    23.06
256                    23.12
512                    23.20
1024                   23.28
2048                   22.34
4096                   22.84
8192                   23.63
16384                  25.29
32768                  58.75
65536                 117.07
131072                133.80
262144                179.29
524288                267.32
1048576               450.43
2097152               804.03
4194304              1731.56
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.01
2                      22.94
4                      22.98
8                      22.95
16                     22.96
32                     23.01
64                     23.01
128                    22.95
256                    23.01
512                    23.05
1024                   23.20
2048                   22.31
