Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     184.55
2                     189.05
4                     184.54
8                     192.38
16                    190.48
32                    194.06
64                    195.23
128                   193.79
256                   195.07
512                   131.10
1024                  138.21
2048                  219.74
4096                  210.42
8192                  224.90
16384                 278.18
32768                 357.68
65536                 864.73
131072               1210.73
262144               1810.98
524288               2921.52
1048576              4334.70
2097152              5915.55
4194304             11655.98
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      67.88
2                      67.94
4                      67.82
8                      67.83
16                     68.17
32                     68.55
64                     68.67
128                    68.73
256                    68.71
512                    44.31
1024                   43.42
2048                   75.98
4096                   77.48
8192                   80.92
16384                  91.96
32768                 124.56
65536                 303.10
131072                427.66
262144                653.49
524288                877.81
1048576              1748.16
2097152              3292.20
4194304              6447.94
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      68.02
2                      68.07
4                      68.13
8                      68.34
16                     68.14
32                     68.31
64                     68.93
128                    69.06
256                    69.10
512                    40.46
1024                   42.19
2048                   81.06
4096                   80.08
8192                   82.25
16384                  92.72
32768                 127.85
65536                 297.64
131072                428.10
262144                648.24
524288               1017.46
1048576              1830.35
2097152              3284.18
4194304              6447.74
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      67.01
2                      67.57
4                      67.54
8                      67.30
16                     67.48
32                     67.81
64                     68.35
128                    68.34
256                    68.38
512                    41.96
1024                   42.62
2048                   75.58
4096                   77.52
8192                   82.25
16384                  92.08
32768                 124.30
65536                 294.34
131072                399.99
262144                602.73
524288                969.73
1048576              1753.28
2097152              3302.41
4194304              6449.45
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      67.62
2                      67.63
4                      67.57
8                      67.60
16                     67.60
32                     67.62
64                     68.15
128                    68.31
256                    68.27
512                    42.33
1024                   42.78
2048                   74.07
4096                   75.78
8192                   80.59
16384                  90.67
32768                 123.22
65536                 298.32
131072                427.88
262144                652.05
524288                976.91
1048576              1747.04
2097152              3299.65
4194304              6454.00
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      67.60
2                      66.74
4                      67.53
8                      66.62
16                     67.54
32                     67.16
64                     67.92
128                    68.58
256                    68.15
512                    41.47
1024                   43.54
2048                   79.79
4096                   79.17
8192                   80.84
16384                  92.48
32768                 127.11
65536                 297.17
131072                385.04
262144                581.74
524288               1062.52
1048576              1813.44
2097152              3296.25
4194304              6456.54
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      67.07
2                      67.98
4                      67.72
8                      66.96
16                     67.74
32                     67.90
64                     68.79
128                    68.89
256                    68.49
512                    42.19
1024                   42.39
2048                   75.00
4096                   77.01
8192                   81.97
16384                  91.91
32768                 124.04
65536                 297.76
131072                427.54
262144                651.46
524288               1016.96
1048576              1833.42
2097152              3302.21
4194304              6458.07
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      67.75
2                      67.67
4                      67.42
