Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
# Size                  MB/s        Messages/s
1                       0.07          73922.57
2                       0.15          77075.28
4                       0.31          77372.01
8                       0.62          77444.86
16                      1.24          77408.71
32                      2.48          77371.05
64                      4.95          77287.33
128                    10.00          78105.18
256                    19.72          77049.53
512                    40.10          78326.97
1024                   79.88          78003.73
2048                  129.03          63001.86
4096                  271.35          66248.70
8192                  482.36          58882.13
16384                 793.89          48455.50
32768                1154.80          35241.63
65536                 907.69          13850.20
131072               1180.44           9006.07
262144               1374.64           5243.83
524288               1520.39           2899.91
1048576              1621.46           1546.35
2097152              1673.46            797.97
4194304              1691.55            403.30
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.07          74286.84
2                       0.15          76980.77
4                       0.31          77091.49
8                       0.62          76978.78
16                      1.24          77323.14
32                      2.47          77196.24
64                      4.94          77176.34
128                     9.89          77260.28
256                    19.70          76933.62
512                    39.39          76940.92
1024                   79.93          78058.42
2048                  131.78          64346.96
4096                  259.48          63349.35
8192                  482.46          58894.46
16384                 790.37          48240.61
32768                1167.13          35618.11
65536                 896.97          13686.63
131072               1178.14           8988.48
262144               1371.75           5232.82
524288               1505.45           2871.41
1048576              1594.70           1520.83
2097152              1652.86            788.15
4194304              1520.09            362.42
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.07          71085.16
2                       0.15          77126.22
4                       0.31          77341.63
8                       0.62          77248.20
16                      1.24          77436.60
32                      2.48          77393.41
64                      4.94          77182.45
128                     9.89          77284.81
256                    19.81          77364.64
512                    39.76          77658.67
1024                   80.12          78241.71
2048                  131.82          64364.83
4096                  258.35          63073.29
8192                  496.44          60600.35
16384                 813.66          49661.69
32768                1191.88          36373.15
65536                 933.96          14251.09
131072               1216.08           9277.97
262144               1418.15           5409.80
524288               1555.76           2967.38
1048576              1621.36           1546.24
2097152              1681.66            801.88
4194304              1701.30            405.62
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.07          74127.49
2                       0.16          77560.12
4                       0.31          77669.35
8                       0.62          77746.86
16                      1.25          77858.88
32                      2.49          77809.82
64                      4.97          77730.64
128                    10.00          78118.88
256                    19.80          77331.31
512                    39.25          76669.75
1024                   77.37          75556.79
2048                  128.46          62725.97
4096                  249.96          61024.80
8192                  483.01          58960.94
16384                 789.57          48191.31
32768                1148.67          35054.59
65536                 897.27          13691.21
131072               1180.31           9005.03
262144               1373.59           5239.82
524288               1501.80           2864.45
1048576              1606.51           1532.08
2097152              1652.70            788.07
4194304              1701.02            405.55
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          55084.57
2                       0.15          74494.04
4                       0.31          78082.01
8                       0.62          78017.38
16                      1.25          78102.85
32                      2.50          78146.04
64                      5.00          78144.02
128                    10.00          78115.87
256                    20.08          78442.84
512                    39.94          78009.64
1024                   80.14          78261.82
2048                  137.84          67306.57
4096                  273.11          66677.17
8192                  481.79          58812.62
16384                 774.52          47272.83
32768                1119.24          34156.52
65536                 873.46          13327.90
131072               1133.15           8645.27
262144               1325.76           5057.36
524288               1408.68           2686.84
1048576              1464.83           1396.97
2097152              1516.51            723.13
4194304              1529.04            364.55
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
