Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
524288                628.16
1048576              1255.62
2097152              2287.80
4194304              3615.34
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.86
2                      38.75
4                      38.77
8                      38.78
16                     38.83
32                     38.84
64                     38.92
128                    39.13
256                    39.26
512                    39.59
1024                   41.23
2048                   67.52
4096                   69.30
8192                   74.15
16384                  75.29
32768                 100.14
65536                 270.44
131072                349.73
262144                458.60
524288                660.92
1048576              1256.13
2097152              2287.87
4194304              3557.33
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.07
2                      39.06
4                      39.07
8                      39.08
16                     39.09
32                     39.17
64                     39.21
128                    39.46
256                    39.60
512                    39.85
1024                   41.65
2048                   68.43
4096                   71.30
8192                   76.31
16384                  86.59
32768                 117.02
65536                 274.34
131072                348.43
262144                448.76
524288                652.84
1048576              1258.65
2097152              2298.20
4194304              3636.68
