
# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
[1721029114.734254615] thin003.hpc.rd.areasciencepark.it:rank0.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029114.761494056] thin003.hpc.rd.areasciencepark.it:rank0.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029114.788332315] thin003.hpc.rd.areasciencepark.it:rank0.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029114.792490890] thin003.hpc.rd.areasciencepark.it:rank1.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029114.819414348] thin003.hpc.rd.areasciencepark.it:rank1.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029114.845796100] thin003.hpc.rd.areasciencepark.it:rank1.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.48
2                       0.49
4                       0.48
8                       0.48
16                      0.50
32                      0.50
64                      0.53
128                     0.58
256                     0.63
512                     0.77
1024                    0.87
2048                    0.98
4096                    2.24
8192                    2.45
16384                   3.17
32768                   4.21
65536                   6.49
131072                 11.00
262144                 20.37
524288                 41.30
1048576                94.49
2097152               226.83
4194304               517.71
[1721029118.564699691] thin003.hpc.rd.areasciencepark.it:rank0.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029118.591870833] thin003.hpc.rd.areasciencepark.it:rank0.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029118.619378204] thin003.hpc.rd.areasciencepark.it:rank0.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029118.619628033] thin003.hpc.rd.areasciencepark.it:rank1.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029118.646675286] thin003.hpc.rd.areasciencepark.it:rank1.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029118.672900596] thin003.hpc.rd.areasciencepark.it:rank1.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.49
2                       0.49
4                       0.48
8                       0.48
16                      0.50
32                      0.50
64                      0.53
128                     0.58
256                     0.64
512                     0.80
1024                    0.88
2048                    0.98
4096                    2.19
8192                    2.46
16384                   3.13
32768                   4.22
65536                   6.44
131072                 10.97
262144                 20.27
524288                 41.30
1048576                96.36
2097152               227.18
4194304               515.87

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.38
2                       0.38
4                       0.38
